3327:0.0167386 3216:0.0130677 2133:0.0127561 1964:0.0108638 2008:0.00991303 
1467:0.0476229 1461:0.0255098 3327:0.0240406 155:0.0128181 1469:0.00753029 
3327:0.0337413 433:0.0186742 1375:0.0159208 3194:0.0122197 1374:0.00684982 
1461:0.0150794 2843:0.00760234 1467:0.00753696 3350:0.00613434 3216:0.00477044 
3327:0.0275898 234:0.0230732 1496:0.0122947 2248:0.00638862 3187:0.00372036 
3327:0.0197192 3097:0.0110159 1077:0.00812623 2609:0.00739686 2417:0.0068578 
3327:0.0256165 1335:0.0206755 657:0.0145181 1330:0.0142342 2187:0.00731348 
3327:0.0241392 2071:0.023608 2073:0.0159163 3096:0.00888698 2075:0.00840089 
3327:0.017969 2417:0.00351654 1318:0.00238765 344:0.00145635 3372:0.00134271 
3327:0.0209397 2417:0.0157737 2788:0.014664 1262:0.0139246 2447:0.00886227 
3096:0.028901 3327:0.0196714 1922:0.0137117 2735:0.0134853 2609:0.00886653 
2507:0.0267456 3327:0.0203616 2417:0.0048606 2203:0.00373377 2762:0.00131442 
780:0.0236567 3327:0.0196714 2788:0.00873544 3083:0.00679509 2818:0.00605463 
1584:0.0173319 3327:0.00470982 769:0.00414655 3065:0.00341455 2710:0.002286 
3327:0.0302052 1964:0.0287258 2818:0.0158117 1193:0.0151269 2592:0.00954875 
3327:0.0255228 2133:0.0188034 253:0.0114706 2417:0.005701 463:0.00523922 
3327:0.0188995 907:0.0170019 2933:0.0156329 3096:0.0124669 2071:0.0119572 
3327:0.03357 3321:0.0265497 2203:0.0153386 2447:0.0125243 526:0.008142 
636:0.036961 3327:0.0342099 1461:0.0100034 2984:0.00818714 2685:0.00777217 
2417:0.0128773 704:0.00447693 787:0.00419396 2573:0.00394041 2388:0.00303001 
3327:0.0136907 1958:0.0085403 2417:0.00741083 2227:0.00636159 3321:0.00478584 
433:0.0461574 3327:0.0209033 2203:0.00883858 3321:0.00413827 737:0.00408092 
3327:0.0304736 253:0.0221477 2573:0.00780235 3297:0.00735997 3300:0.0062434 
3327:0.0319058 212:0.0067654 3125:0.0058 321:0.00579444 736:0.00562947 
3327:0.0319335 1594:0.0216444 2609:0.0177328 2095:0.0154767 987:0.0108519 
3327:0.0200252 1200:0.0178764 483:0.0143527 491:0.00615329 1130:0.00562427 
190:0.0220704 3327:0.0147289 191:0.0100052 2573:0.00760466 2071:0.00744311 
891:0.0277019 3327:0.0210261 3065:0.00850343 746:0.00682455 3022:0.00575312 
3327:0.0267349 3096:0.00570971 1335:0.00218835 284:0.00135099 953:0.00106086 
3083:0.040685 2818:0.0299865 3327:0.0160579 3350:0.0155553 1193:0.0105125 
3327:0.01595 1818:0.0101096 2417:0.00439815 1569:0.00316433 284:0.00314583 
3327:0.0200087 2573:0.0112664 3340:0.00509334 1905:0.00500393 2421:0.0042386 
3327:0.0397465 511:0.0388386 3168:0.0255697 1496:0.0195784 843:0.00610491 
3327:0.0344794 537:0.0109636 2133:0.0104958 2047:0.00930162 3321:0.00790084 
3327:0.0226845 2710:0.00542808 2788:0.0052724 2679:0.00308469 2101:0.00307131 
3327:0.0196203 1627:0.0132688 1496:0.0110881 3225:0.00711254 284:0.00639982 
3327:0.0418739 190:0.0151414 336:0.00466246 2203:0.00450715 191:0.00376251 
3327:0.037282 3187:0.0111526 1078:0.0103159 505:0.00978291 1077:0.00909628 
3327:0.0394381 1192:0.0248848 3208:0.0227876 3090:0.0174689 3194:0.0143166 
3327:0.021362 2548:0.0109112 2456:0.00561725 1954:0.00524314 2714:0.00295426 
2075:0.0398594 2073:0.0365319 3327:0.0242155 2945:0.0172886 2071:0.0126194 
3327:0.0179028 1461:0.00442851 284:0.00399662 953:0.00106086 2716:0.000938406 
284:0.0325808 3327:0.0226901 3286:0.0181617 537:0.0121113 642:0.011305 
1594:0.0204032 2609:0.0201584 3327:0.0156481 2095:0.0115337 505:0.00691475 
3327:0.0305614 1099:0.00839441 1594:0.00738069 1124:0.00689573 2797:0.00687544 
3327:0.029164 2227:0.0143889 1231:0.0122132 2696:0.00611502 2226:0.00548567 
3327:0.0201561 2417:0.00610252 2148:0.00604977 2447:0.0030981 2203:0.00174551 
3327:0.0178488 122:0.00981198 443:0.00926794 2129:0.00926794 2818:0.00742699 
3327:0.0402318 1742:0.0127204 2573:0.0116731 769:0.00642387 1547:0.0031742 
3327:0.0177958 1958:0.0174423 1905:0.0147991 3361:0.011887 969:0.00746689 
1268:0.0222993 1356:0.0179095 1594:0.0146158 3327:0.0119221 2462:0.00436928 
2071:0.0214282 2073:0.0179306 3327:0.0141137 3340:0.00431012 2163:0.00416987 
3327:0.018436 2573:0.00852779 1845:0.00589663 249:0.00346418 58:0.00129942 
3327:0.0140531 2281:0.00547339 2070:0.00324162 691:0.00270074 58:0.00162243 
3327:0.0299471 885:0.0251335 3151:0.0200047 2849:0.0199253 3136:0.0173736 
3327:0.0276106 1905:0.0184243 2573:0.012357 3083:0.00863491 1906:0.00605239 
3327:0.0226533 2462:0.0202925 3292:0.0140318 1912:0.0124064 2788:0.0104307 
2788:0.0211813 2933:0.0182677 3327:0.0108154 323:0.0106892 1124:0.00702863 
3327:0.0206808 2447:0.00962979 491:0.00755166 1318:0.00498841 344:0.0045327 
2203:0.0884794 2740:0.0454276 3319:0.0379574 1461:0.0360118 1467:0.027493 
3327:0.0232202 843:0.00229651 1335:0.00204412 1461:0.00179897 597:0.00179217 
3327:0.0235584 3085:0.00755401 2788:0.00722843 1627:0.00646309 284:0.0046203 
2203:0.0214377 3327:0.0145872 2685:0.00446299 679:0.0025603 1905:0.00180958 
284:0.0033648 3327:0.00322842 2762:0.00284662 3367:0.00176603 3373:0.00119679 
3327:0.0290438 2933:0.0267933 2479:0.0249915 3187:0.0120136 323:0.0116384 
1106:0.0146987 1928:0.0113572 2582:0.0109993 2489:0.00929407 3327:0.00897086 
3327:0.0233001 2818:0.00646254 3216:0.0050925 3363:0.00224137 1398:0.0021045 
3327:0.0243139 2447:0.010021 2203:0.00915002 2762:0.00897167 1627:0.00870744 
3327:0.0261616 1594:0.0222712 2376:0.0116291 2788:0.00771455 1152:0.00741254 
3327:0.0252957 1627:0.0197274 2417:0.0171641 2203:0.0127662 2948:0.0108988 
3327:0.0251578 58:0.00500165 3187:0.00267288 816:0.00260955 290:0.00255447 
3327:0.0373474 3297:0.00946949 1200:0.00563335 626:0.00404021 2814:0.00401238 
3327:0.0502347 1496:0.00781662 2267:0.00294456 1627:0.0024705 2203:0.00166198 
3327:0.0326965 491:0.0173205 1461:0.00761636 1297:0.00661252 3203:0.00650285 
3327:0.0294137 211:0.022199 1627:0.0176703 2507:0.00877059 2541:0.00567533 
3327:0.0311289 537:0.00768404 1627:0.00592986 1335:0.00538407 1461:0.00255748 
1594:0.0439722 2095:0.0431404 3327:0.0375455 1017:0.0355174 3321:0.0264068 
3327:0.0189335 1335:0.0115963 1330:0.0087153 2187:0.00785647 657:0.00695758 
3327:0.0160751 2203:0.0135684 336:0.0123306 2633:0.0118816 3065:0.00354884 
1171:0.0231607 3327:0.016772 736:0.0117621 952:0.0114384 2462:0.00987447 
3327:0.0215353 3297:0.00769885 3216:0.00281322 2573:0.00228143 2180:0.00173211 
3327:0.0270752 3096:0.00627749 896:0.00500746 2694:0.00445659 2609:0.00359152 
3327:0.0297739 2047:0.0061961 2818:0.00434313 158:0.00395142 1318:0.00358643 
3327:0.0248995 1542:0.0197221 1905:0.0196552 1958:0.0157091 1205:0.00954391 
3327:0.0142198 483:0.00408833 2710:0.00332009 3373:0.00290354 1318:0.00205022 
3327:0.0197618 1798:0.00701725 1450:0.00216776 1449:0.00130145 2818:0.00108919 
2447:0.0304177 3327:0.020322 2788:0.0184464 2609:0.0109849 2910:0.00606069 
3327:0.0304738 2447:0.0220733 3373:0.00819561 1215:0.00605118 2417:0.00590805 
1215:0.0216141 3327:0.0196707 907:0.00653871 1554:0.00647707 2741:0.00328144 
1610:0.104954 213:0.0879358 2507:0.066337 3327:0.0364526 2203:0.00977985 
1461:0.0154893 1467:0.0136822 1376:0.0131188 3187:0.0111376 3327:0.00564557 
1594:0.0396201 2609:0.0285141 3327:0.0215849 2098:0.0188409 2788:0.0187779 
2075:0.0279162 3327:0.0182283 2417:0.0102124 642:0.00916276 2203:0.00476434 
3327:0.0263789 1922:0.0257123 1152:0.0163687 2785:0.0162538 3057:0.0133817 
2552:0.0276373 2071:0.0252825 2075:0.0170461 3327:0.0166857 2970:0.0155487 
3327:0.0222991 1532:0.0118513 934:0.00685064 769:0.0036639 2573:0.00308395 
3327:0.0208081 2573:0.0198655 3297:0.00754554 2843:0.00344933 2618:0.00267775 
1512:0.0630973 2484:0.0405714 2069:0.0389054 3327:0.0270479 2095:0.00660114 
3327:0.0345811 2071:0.0110227 2075:0.00851593 2788:0.00699311 2073:0.00550025 
3327:0.0312768 284:0.00873193 2609:0.00595687 3373:0.00463061 2710:0.00395768 
2507:0.0102786 3367:0.00724881 617:0.00702583 2326:0.00643203 3327:0.00612003 
3327:0.0201545 1964:0.017119 3216:0.0137563 3176:0.00867618 2818:0.0069654 
3327:0.0290211 849:0.0159501 2557:0.0152284 1964:0.011052 3321:0.00850059 
3327:0.037049 843:0.0314023 2873:0.023944 2203:0.0183925 763:0.0108568 
3327:0.0185255 2573:0.0107792 3216:0.00983361 2818:0.00371845 769:0.00298772 
3327:0.0183163 2033:0.00566928 2047:0.00532215 2685:0.00466928 505:0.00449565 
3187:0.0351714 3327:0.0330041 2417:0.0264595 1654:0.0204529 1215:0.0188378 
2095:0.0122772 2447:0.00803885 2609:0.00741375 1594:0.00647223 3327:0.00603269 
3327:0.0144362 2203:0.00778814 1496:0.00142345 1967:0.00117587 953:0.00106086 
3327:0.0124112 2818:0.00378872 1627:0.00343896 2417:0.00164902 953:0.00106086 
3083:0.0226243 3327:0.019985 934:0.0124014 2573:0.0123551 1845:0.00636754 
2818:0.0135297 1798:0.012277 1905:0.00998108 3327:0.00881498 1344:0.00735504 
3327:0.0231887 1376:0.0137124 1554:0.0112537 825:0.0103283 890:0.0064596 
859:0.0486937 2355:0.044484 3076:0.0365145 3373:0.0284195 3327:0.0278986 
3327:0.0273472 1594:0.00478897 2095:0.00419128 2203:0.00169911 41:0.00120145 
3327:0.0235094 3187:0.0206232 2685:0.00569984 492:0.00557186 3373:0.00393212 
3327:0.0320924 2417:0.00832494 537:0.00754882 1627:0.00705183 2609:0.00557084 
3327:0.0246848 2447:0.00950178 505:0.00582845 2203:0.00480265 2417:0.004237 
2168:0.0247383 1141:0.0205249 903:0.0199648 3327:0.0141452 863:0.00944624 
3327:0.0448644 3187:0.0266674 2203:0.0111854 2818:0.00686431 1170:0.00389293 
3327:0.0144832 1215:0.00687487 2203:0.00471456 2000:0.00391875 2417:0.0034398 
2456:0.01706 3327:0.016715 2417:0.00855175 1976:0.00618912 2454:0.00547341 
2447:0.0287591 3327:0.0268675 2788:0.00609351 1650:0.00161198 2762:0.00150487 
3327:0.017273 284:0.0135123 1707:0.0129353 642:0.0117843 2849:0.0106102 
3327:0.0285652 1496:0.0160468 2203:0.0121303 843:0.00677445 3168:0.00614027 
1964:0.0473791 3216:0.0335085 2843:0.0277511 2818:0.0215317 2578:0.0201936 
284:0.0273969 3327:0.0200236 3015:0.0144719 1627:0.0126994 3025:0.0102725 
3327:0.0251624 2573:0.0138922 2071:0.00746816 707:0.0073737 2298:0.00573285 
3327:0.0169926 3373:0.00308045 953:0.00106086 284:0.000795045 2584:0.000731473 
3327:0.0198996 2573:0.00670516 2818:0.00415308 3297:0.00369254 2911:0.00218148 
1202:0.0229062 994:0.0226792 3327:0.0180914 2462:0.010158 953:0.00106086 
2447:0.042807 3327:0.0209089 2041:0.0129829 2042:0.0100262 2040:0.00756076 
642:0.0404531 3327:0.023737 2447:0.0103579 643:0.00837251 2075:0.00746788 
2447:0.0362847 1243:0.0199221 2609:0.016326 3327:0.0137111 3096:0.00421618 
3327:0.0139413 36:0.009533 2552:0.00560184 2203:0.00329779 3187:0.00307422 
526:0.0257687 2762:0.0244736 892:0.0221189 3367:0.019997 642:0.0166346 
3327:0.0107739 2573:0.0102072 3083:0.00671998 1391:0.00239641 934:0.0021141 
3327:0.0179459 2759:0.00867696 2818:0.00831552 2675:0.00668024 2297:0.00482426 
3327:0.0164761 3096:0.0135884 2710:0.0058547 2071:0.00480745 1498:0.00252924 
3327:0.0177852 2573:0.0116014 190:0.0113144 2262:0.0080873 2986:0.00752462 
3327:0.02175 2582:0.0173156 172:0.0117397 1011:0.0089137 2489:0.0087843 
3327:0.0197968 863:0.00524244 2818:0.0049446 3083:0.00342345 2573:0.00277571 
236:0.0758382 2036:0.042203 3327:0.0371739 3187:0.0320083 737:0.0241459 
2762:0.0266184 892:0.0244092 3367:0.0212327 1905:0.017831 3327:0.0175373 
1376:0.0213188 3327:0.020021 890:0.00238936 825:0.00198977 3118:0.00194057 
3327:0.0214304 2203:0.0161621 2609:0.00702813 1958:0.00492606 268:0.00312688 
3327:0.0194198 1925:0.00141084 953:0.00106086 1059:0.000709412 2163:0.000324069 
3187:0.0533716 3327:0.0303046 2933:0.0236218 2842:0.0161864 3072:0.0150315 
2203:0.0722632 3327:0.0384727 1847:0.00878846 2417:0.0077543 1627:0.00630923 
2788:0.0401604 1044:0.0302045 3265:0.0288734 3361:0.0273374 2098:0.0186268 
1905:0.061922 2573:0.0580881 3327:0.0409731 1966:0.0375466 576:0.0179334 
3327:0.025856 2507:0.0135198 327:0.00870026 2447:0.00605961 1206:0.00590397 
3327:0.0378061 1905:0.0116198 1958:0.011346 2047:0.00673721 1205:0.0060759 
1262:0.0190555 2788:0.00839347 891:0.00782318 2552:0.00700335 3327:0.00598386 
3327:0.0220669 916:0.0202763 1594:0.0173409 2203:0.0137944 427:0.0109188 
3327:0.0196794 2911:0.00724063 1461:0.00609211 3110:0.00277704 1057:0.00242182 
3327:0.0108454 2472:0.00490347 1627:0.00402101 728:0.00399615 211:0.00341198 
3327:0.0269513 1461:0.0115115 1467:0.00810319 2818:0.00757709 1967:0.00615731 
642:0.0377956 3327:0.0132687 2021:0.0058677 1205:0.00436251 483:0.00363726 
2456:0.0209735 3216:0.012491 1711:0.0102592 2457:0.00893179 1946:0.00872252 
3327:0.0179159 3083:0.00535559 236:0.00456784 891:0.00385302 1036:0.00383264 
1905:0.016224 3327:0.0137209 1958:0.0115801 1205:0.00608774 2075:0.00506165 
2762:0.0194877 3327:0.0183787 892:0.0167949 3367:0.0154337 1627:0.0113947 
3327:0.0184849 1967:0.0117592 2951:0.00419861 953:0.00106086 3361:0.00103126 
2696:0.0366551 3327:0.0180893 649:0.0165634 3094:0.0154845 650:0.0146176 
650:0.0325247 2696:0.0274404 3094:0.0240681 3327:0.0240127 2447:0.0167996 
3327:0.0371629 199:0.0206225 1595:0.0206223 2883:0.0143037 2814:0.00694528 
2261:0.0246057 2260:0.0174567 2592:0.0171127 1787:0.0162978 3327:0.0161097 
2496:0.0274046 3327:0.0227855 1976:0.0156225 2493:0.0149993 2417:0.00957433 
3327:0.0207782 2203:0.00980361 2675:0.00312064 2417:0.0017243 953:0.00106086 
3327:0.0234528 2417:0.014523 2788:0.0124236 1215:0.0076306 1262:0.0071992 
3327:0.0538786 2203:0.0308711 375:0.0154211 376:0.0125987 2115:0.0106394 
1330:0.0522719 2187:0.0460513 2186:0.0337406 3327:0.0241342 1335:0.02333 
2203:0.0671018 3327:0.0407706 1627:0.0105736 211:0.00618258 1496:0.00598734 
3253:0.0361487 3327:0.033531 1192:0.0187294 3187:0.0156469 1391:0.0123846 
3327:0.024132 1594:0.0157996 2098:0.0145454 2095:0.0118986 3157:0.00731552 
3327:0.0168645 1375:0.0127331 3194:0.010069 361:0.0100003 745:0.00891902 
1330:0.0350227 2187:0.0293342 2186:0.0232424 1335:0.0144677 657:0.0122045 
2573:0.0284854 3327:0.0179902 1905:0.0126337 2479:0.010233 3171:0.00545318 
463:0.0281562 3327:0.0239256 466:0.021452 1152:0.0183899 3298:0.014274 
3327:0.0212942 2710:0.0141512 1594:0.0137588 2735:0.00763209 1207:0.00482571 
284:0.0304646 3321:0.0175505 3327:0.0132996 2379:0.00970214 300:0.00968967 
3327:0.0158516 1376:0.0155389 1594:0.0127474 3171:0.00887575 2483:0.00664613 
2203:0.0201366 336:0.0157167 3327:0.0130633 3083:0.0096102 1391:0.0082803 
1496:0.0302846 3327:0.0301435 3168:0.0223326 1152:0.0125068 2417:0.00699081 
3327:0.037746 1496:0.0160887 3168:0.0073902 843:0.00627832 1152:0.00596729 
3327:0.023557 1905:0.00392867 2818:0.00375472 3077:0.00205447 3342:0.00197347 
3327:0.0215055 2447:0.0153179 3373:0.00178858 650:0.00145253 1781:0.00127363 
3327:0.0210151 1866:0.00867103 2447:0.00483489 284:0.00326302 2788:0.00212578 
3327:0.0192415 1905:0.00653559 3373:0.00525969 1958:0.00449189 451:0.00401585 
3327:0.0247437 2447:0.0168787 2507:0.0165425 1243:0.0052204 2417:0.00464527 
3327:0.00946766 2573:0.00564416 3297:0.00284032 3086:0.00130408 953:0.00106086 
1461:0.0343819 3327:0.0214422 1467:0.0201115 3253:0.0171281 2278:0.0155753 
3327:0.0317155 1078:0.0256519 1077:0.0229615 234:0.013192 1099:0.00326508 
3327:0.035528 737:0.0257349 3187:0.0232592 1335:0.0144218 736:0.0142322 
3327:0.0207001 2933:0.0164715 1627:0.0164014 323:0.00955409 2175:0.0065885 
3327:0.0329859 1912:0.0129819 1627:0.0116222 1928:0.00482789 2417:0.00412059 
2417:0.015012 2203:0.0111677 3373:0.00752517 1413:0.00689836 341:0.00593447 
3327:0.0181235 1976:0.0179223 491:0.0135846 2417:0.0132927 2496:0.0107669 
2951:0.0603725 1461:0.0473487 3319:0.0364092 1467:0.0346255 3327:0.0198207 
3327:0.0354918 2047:0.0310534 3321:0.0103123 1175:0.00754365 158:0.00608251 
3327:0.0291368 2203:0.025105 164:0.0130187 1152:0.0104938 1496:0.0100729 
3327:0.0190704 1152:0.00964406 1496:0.00718445 3168:0.00637546 1318:0.00529795 
3327:0.017676 2203:0.00187988 2315:0.0015657 1287:0.00133017 2609:0.00119043 
3327:0.0214714 2417:0.0110109 1879:0.0106933 1627:0.00440903 649:0.00437923 
3327:0.0179752 2261:0.0054543 2818:0.00442701 2843:0.0040176 2762:0.00353927 
994:0.0315469 3327:0.023107 2710:0.00798345 2552:0.00405795 2582:0.00358048 
3327:0.0159099 284:0.0105077 2326:0.00816122 2417:0.00330044 3168:0.00237146 
3327:0.019612 2158:0.0130711 68:0.00924521 3352:0.00899299 3068:0.00583777 
2447:0.0238496 3327:0.018075 2417:0.0146535 1243:0.0131761 1987:0.00644815 
3191:0.0128011 491:0.0127073 3327:0.0126765 483:0.0123674 3194:0.0123104 
2759:0.0284104 3327:0.016722 1194:0.0105629 180:0.00962193 2507:0.00905422 
2133:0.0323179 3327:0.0253299 3083:0.00888546 2456:0.0051337 2685:0.00467073 
3168:0.0152866 2462:0.0093448 3292:0.00818879 1215:0.00632744 3128:0.00631234 
3327:0.0159373 2297:0.0153915 3085:0.0137988 3086:0.00764435 2417:0.00609146 
3327:0.0180832 1215:0.00241412 2203:0.00163737 30:0.00133479 2466:0.00115487 
3327:0.0227921 2203:0.0162268 284:0.00712199 2417:0.00394736 2047:0.0023314 
2456:0.0254177 3327:0.0248898 1192:0.0206674 559:0.0108751 560:0.00943064 
3327:0.0213079 419:0.0078568 650:0.00732118 1905:0.0064344 224:0.00485086 
